epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.0111,3.32519,5.10967,4.00024,0.78807,0.05618,0.02306,0.00577,2.85539,9.83453,3.46756,0.000415076,0.000415076,0.000415076
2,130.239,2.79397,4.26271,3.29143,0.29556,0.10549,0.02806,0.00754,2.69792,5.535,3.06999,0.00083154,0.00083154,0.00083154
3,185.651,2.52875,3.79513,3.02372,0.20936,0.17357,0.10733,0.03922,2.36237,3.83953,2.81195,0.00124719,0.00124719,0.00124719
4,246.176,2.4022,3.37295,2.83932,0.71683,0.15681,0.15678,0.06449,2.29577,3.32141,2.75268,0.00124725,0.00124725,0.00124725
5,303.296,2.26894,3.13666,2.70785,0.70569,0.12778,0.12063,0.04285,2.40731,3.21687,2.81898,0.00124512,0.00124512,0.00124512
6,358.603,2.20031,2.91019,2.62244,0.7216,0.15336,0.18585,0.07909,2.08141,2.88945,2.54393,0.00124238,0.00124238,0.00124238
7,413.833,2.09113,2.70619,2.49607,0.75103,0.20936,0.20469,0.0861,2.16809,2.81491,2.53205,0.00123904,0.00123904,0.00123904
8,469.411,2.03126,2.59517,2.43309,0.72296,0.24891,0.2201,0.10088,1.9583,2.54407,2.39107,0.0012351,0.0012351,0.0012351
9,524.871,1.97803,2.44853,2.36811,0.54827,0.23076,0.26277,0.11977,1.97999,2.49481,2.3872,0.00123056,0.00123056,0.00123056
10,579.769,1.9368,2.41596,2.33193,0.33157,0.28615,0.27157,0.12694,1.94361,2.36775,2.31659,0.00122543,0.00122543,0.00122543
11,634.993,1.87064,2.31472,2.2626,0.36331,0.24628,0.30444,0.14161,1.89391,2.19265,2.28489,0.00121972,0.00121972,0.00121972
12,690.636,1.86519,2.20658,2.22835,0.82781,0.2697,0.34978,0.15751,1.96384,2.13169,2.27507,0.00121342,0.00121342,0.00121342
13,746.421,1.81937,2.16219,2.19187,0.81077,0.31673,0.3493,0.1654,1.85519,2.12671,2.2222,0.00120655,0.00120655,0.00120655
14,802.816,1.79389,2.11816,2.16156,0.65696,0.32239,0.35431,0.18941,1.71832,1.9368,2.11376,0.00119911,0.00119911,0.00119911
15,866.25,1.75195,2.05331,2.10856,0.90545,0.29222,0.3931,0.21093,1.65347,1.89516,2.06857,0.00119111,0.00119111,0.00119111
16,922.206,1.74981,1.98436,2.09882,0.81984,0.32166,0.40125,0.19429,1.73841,1.90323,2.12984,0.00118256,0.00118256,0.00118256
17,978.509,1.71142,1.94081,2.06434,0.80646,0.31407,0.39389,0.20708,1.67089,1.9021,2.06326,0.00117346,0.00117346,0.00117346
18,1034.36,1.67654,1.92214,2.05199,0.73163,0.34411,0.40483,0.20625,1.66709,1.80915,2.05409,0.00116383,0.00116383,0.00116383
19,1090.25,1.67729,1.89813,2.01951,0.51739,0.39063,0.45023,0.22436,1.71738,1.71587,2.05816,0.00115368,0.00115368,0.00115368
20,1147.89,1.66923,1.84358,2.01326,0.83772,0.3407,0.4212,0.22351,1.68526,1.74101,2.02828,0.00114301,0.00114301,0.00114301
21,1208.47,1.63345,1.8188,1.98101,0.50834,0.42515,0.43754,0.21238,1.81567,1.8294,2.09696,0.00113183,0.00113183,0.00113183
22,1267.46,1.61898,1.77694,1.96995,0.51123,0.45379,0.45481,0.25587,1.57434,1.68554,1.95443,0.00112016,0.00112016,0.00112016
23,1328.57,1.61318,1.76222,1.95489,0.72706,0.40159,0.47143,0.2662,1.59201,1.64747,1.94412,0.00110801,0.00110801,0.00110801
24,1390.04,1.59942,1.7192,1.93501,0.53287,0.45516,0.46194,0.26522,1.60464,1.75561,1.95467,0.00109538,0.00109538,0.00109538
25,1458,1.58555,1.71993,1.93349,0.7172,0.43627,0.46581,0.26566,1.52436,1.68444,1.90913,0.0010823,0.0010823,0.0010823
26,1519.66,1.57516,1.67388,1.91097,0.46514,0.48563,0.45966,0.26465,1.5348,1.66901,1.92319,0.00106877,0.00106877,0.00106877
27,1581.14,1.534,1.61887,1.86703,0.56752,0.48108,0.51262,0.27953,1.55366,1.59308,1.90891,0.00105481,0.00105481,0.00105481
28,1642.77,1.5257,1.60744,1.86893,0.57799,0.46159,0.48957,0.26858,1.53773,1.52015,1.84972,0.00104044,0.00104044,0.00104044
29,1704.27,1.52579,1.59008,1.87551,0.7062,0.44297,0.5451,0.2959,1.47873,1.47543,1.86614,0.00102566,0.00102566,0.00102566
30,1765.3,1.50192,1.55934,1.8279,0.68539,0.49417,0.52102,0.27548,1.635,1.57605,1.91826,0.00101049,0.00101049,0.00101049
31,1826.43,1.50395,1.54934,1.82583,0.7383,0.49034,0.52841,0.29753,1.45507,1.49494,1.81165,0.000994942,0.000994942,0.000994942
32,1888.12,1.50491,1.55297,1.82233,0.65592,0.47934,0.539,0.30287,1.51707,1.4732,1.86787,0.000979039,0.000979039,0.000979039
33,1948.07,1.45816,1.46124,1.78987,0.87202,0.46874,0.5643,0.32712,1.44067,1.37999,1.7805,0.000962793,0.000962793,0.000962793
34,2009.21,1.47579,1.49882,1.80754,0.69856,0.52836,0.57411,0.32161,1.49584,1.38637,1.80267,0.000946219,0.000946219,0.000946219
35,2077.7,1.47068,1.4915,1.80828,0.69515,0.52365,0.57324,0.31457,1.49182,1.35985,1.8177,0.000929335,0.000929335,0.000929335
36,2137.02,1.46676,1.49855,1.79465,0.75068,0.52695,0.58223,0.32826,1.43984,1.40089,1.80583,0.000912157,0.000912157,0.000912157
37,2196.85,1.44925,1.45191,1.78516,0.73364,0.51188,0.57741,0.32826,1.43033,1.32927,1.77468,0.000894701,0.000894701,0.000894701
38,2255.55,1.44239,1.42756,1.76329,0.75037,0.52676,0.59611,0.3273,1.55037,1.40457,1.82023,0.000876985,0.000876985,0.000876985
39,2311.57,1.4333,1.41735,1.76423,0.78242,0.47746,0.58352,0.34498,1.39826,1.32103,1.73856,0.000859027,0.000859027,0.000859027
40,2368.31,1.42819,1.40613,1.75762,0.72322,0.55173,0.60141,0.32982,1.47665,1.33682,1.78064,0.000840844,0.000840844,0.000840844
41,2424.2,1.41883,1.38044,1.74342,0.66101,0.5801,0.61984,0.36512,1.42343,1.23328,1.74125,0.000822454,0.000822454,0.000822454
42,2479.69,1.41367,1.39225,1.74586,0.75303,0.56386,0.62352,0.36684,1.39433,1.23476,1.73202,0.000803876,0.000803876,0.000803876
43,2535.57,1.40249,1.38201,1.7405,0.66087,0.55592,0.62825,0.35507,1.39491,1.25771,1.72737,0.000785127,0.000785127,0.000785127
44,2590.62,1.39856,1.353,1.72235,0.73042,0.57924,0.63049,0.36382,1.39318,1.26437,1.73964,0.000766226,0.000766226,0.000766226
45,2653.7,1.3765,1.32826,1.71611,0.72069,0.55547,0.64303,0.37968,1.35959,1.22371,1.67857,0.000747192,0.000747192,0.000747192
46,2710.3,1.40079,1.35192,1.72823,0.75794,0.56967,0.63819,0.36945,1.36174,1.25498,1.69315,0.000728044,0.000728044,0.000728044
47,2765.55,1.3631,1.30102,1.684,0.62682,0.63243,0.6416,0.39004,1.31171,1.15919,1.64755,0.0007088,0.0007088,0.0007088
48,2821.16,1.37064,1.31568,1.69855,0.78408,0.5767,0.65146,0.37882,1.40627,1.29208,1.73862,0.00068948,0.00068948,0.00068948
49,2879.1,1.36251,1.28064,1.68575,0.69004,0.58886,0.63532,0.35798,1.43842,1.23334,1.74014,0.000670102,0.000670102,0.000670102
50,2935.01,1.34949,1.29577,1.6771,0.78195,0.55961,0.63081,0.3732,1.38576,1.17727,1.69914,0.000650685,0.000650685,0.000650685
51,2990.5,1.34584,1.27868,1.68444,0.74683,0.54407,0.64037,0.36918,1.36266,1.16121,1.69076,0.00063125,0.00063125,0.00063125
52,3045.88,1.34955,1.25436,1.67701,0.77129,0.56532,0.65748,0.38571,1.37539,1.13576,1.72632,0.000611815,0.000611815,0.000611815
53,3100.88,1.31894,1.24087,1.64957,0.78449,0.56705,0.65934,0.3932,1.35366,1.14882,1.67687,0.000592398,0.000592398,0.000592398
54,3156.06,1.31814,1.22947,1.64879,0.85187,0.56467,0.66044,0.39149,1.32544,1.15069,1.65097,0.00057302,0.00057302,0.00057302
55,3211.3,1.31419,1.20764,1.64925,0.78362,0.63452,0.69319,0.39076,1.43902,1.13081,1.70733,0.0005537,0.0005537,0.0005537
56,3281.78,1.32321,1.21201,1.65076,0.77964,0.59838,0.6685,0.38952,1.40713,1.1417,1.72785,0.000534456,0.000534456,0.000534456
57,3342.07,1.31373,1.20213,1.63905,0.74195,0.60966,0.67537,0.41416,1.26659,1.10517,1.63837,0.000515308,0.000515308,0.000515308
58,3403.18,1.3042,1.20776,1.6385,0.671,0.67134,0.69208,0.40033,1.39767,1.08685,1.69992,0.000496274,0.000496274,0.000496274
59,3462.04,1.29232,1.19999,1.63663,0.80733,0.60304,0.68806,0.41707,1.33542,1.07986,1.65405,0.000477373,0.000477373,0.000477373
60,3523,1.29306,1.17377,1.62068,0.79465,0.60612,0.68597,0.4167,1.24948,1.08093,1.61863,0.000458624,0.000458624,0.000458624
61,3581.81,1.28697,1.17964,1.62528,0.71505,0.66909,0.70564,0.42505,1.2736,1.02727,1.62803,0.000440046,0.000440046,0.000440046
62,3641.08,1.29059,1.188,1.6214,0.81792,0.64897,0.71239,0.42363,1.32701,1.06123,1.65994,0.000421656,0.000421656,0.000421656
63,3699.65,1.26544,1.16139,1.60033,0.74641,0.6334,0.6935,0.41888,1.27127,1.04502,1.63419,0.000403473,0.000403473,0.000403473
64,3758.33,1.27666,1.15737,1.61079,0.77514,0.62812,0.70876,0.40781,1.39333,1.03381,1.68352,0.000385515,0.000385515,0.000385515
65,3817.53,1.27647,1.16208,1.61636,0.75021,0.62416,0.70224,0.42675,1.28128,1.05314,1.62475,0.000367799,0.000367799,0.000367799
66,3885.41,1.26149,1.14443,1.6018,0.81875,0.67709,0.73933,0.43975,1.31647,1.02841,1.65051,0.000350343,0.000350343,0.000350343
67,3945.98,1.25795,1.14201,1.59516,0.78693,0.64595,0.71917,0.42387,1.29592,1.04387,1.6433,0.000333165,0.000333165,0.000333165
68,4005.37,1.24679,1.11899,1.59032,0.75764,0.67704,0.73488,0.42077,1.3646,1.05603,1.66645,0.000316281,0.000316281,0.000316281
69,4064.14,1.23638,1.1312,1.58498,0.78717,0.69461,0.74199,0.43533,1.27343,1.02066,1.63794,0.000299707,0.000299707,0.000299707
70,4122.65,1.23123,1.13029,1.58253,0.81794,0.6281,0.71416,0.43076,1.27612,1.01947,1.64698,0.000283461,0.000283461,0.000283461
71,4180.82,1.22946,1.10011,1.57162,0.80148,0.68932,0.74661,0.44359,1.24541,1.00463,1.59693,0.000267558,0.000267558,0.000267558
72,4240.69,1.22999,1.09952,1.57679,0.82724,0.6853,0.75995,0.44388,1.28493,1.00921,1.62601,0.000252014,0.000252014,0.000252014
73,4299.52,1.23081,1.10254,1.56608,0.74117,0.67577,0.71954,0.43379,1.27702,0.97469,1.61832,0.000236844,0.000236844,0.000236844
74,4359.89,1.21524,1.07771,1.56326,0.81259,0.67102,0.73794,0.44513,1.27067,0.98676,1.60279,0.000222063,0.000222063,0.000222063
75,4421.74,1.22766,1.09196,1.57169,0.81367,0.62738,0.73143,0.44575,1.28056,0.98784,1.61588,0.000207686,0.000207686,0.000207686
76,4489.76,1.21005,1.06908,1.55468,0.76805,0.66721,0.73269,0.44987,1.25543,0.96714,1.5919,0.000193728,0.000193728,0.000193728
77,4551.13,1.21756,1.06385,1.55651,0.77199,0.69681,0.75332,0.44764,1.28879,0.9677,1.6158,0.000180201,0.000180201,0.000180201
78,4613.17,1.21065,1.06087,1.55745,0.80296,0.67868,0.75015,0.44663,1.24195,0.96189,1.59565,0.000167119,0.000167119,0.000167119
79,4676.69,1.20746,1.05928,1.54893,0.7974,0.68139,0.74753,0.45689,1.26389,0.96682,1.60521,0.000154495,0.000154495,0.000154495
80,4743.81,1.21394,1.06365,1.54557,0.79787,0.71164,0.76449,0.46439,1.22057,0.93389,1.57452,0.000142342,0.000142342,0.000142342
81,4822.7,1.21086,1.06226,1.55815,0.84394,0.68041,0.7571,0.45924,1.20808,0.96128,1.58032,0.000130671,0.000130671,0.000130671
82,4900.98,1.18347,1.04417,1.54632,0.86447,0.681,0.77124,0.44988,1.28387,0.96034,1.62021,0.000119494,0.000119494,0.000119494
83,4988.48,1.18027,1.02083,1.53688,0.81886,0.6774,0.74323,0.45116,1.25196,0.94791,1.60416,0.000108822,0.000108822,0.000108822
84,5078.81,1.1962,1.04037,1.53975,0.83667,0.66867,0.75108,0.45334,1.21518,0.94372,1.58192,9.86659e-05,9.86659e-05,9.86659e-05
85,5167.05,1.19111,1.04454,1.53491,0.75441,0.70335,0.74627,0.44498,1.27786,0.94442,1.61322,8.90352e-05,8.90352e-05,8.90352e-05
86,5296.91,1.0604,0.86374,1.50665,0.83979,0.64079,0.73584,0.45293,1.20399,0.92785,1.57741,7.99397e-05,7.99397e-05,7.99397e-05
87,5385.39,1.06022,0.82095,1.50339,0.78223,0.70481,0.76045,0.45689,1.2212,0.91726,1.57461,7.13883e-05,7.13883e-05,7.13883e-05
88,5474.84,1.06624,0.84146,1.50494,0.80615,0.67834,0.75349,0.45613,1.23592,0.92281,1.57912,6.33893e-05,6.33893e-05,6.33893e-05
89,5562.89,1.06434,0.83577,1.51238,0.81079,0.69603,0.75651,0.45348,1.25025,0.9186,1.59063,5.59508e-05,5.59508e-05,5.59508e-05
90,5648.86,1.06943,0.84245,1.5122,0.82105,0.68795,0.75297,0.45633,1.20094,0.91018,1.56841,4.908e-05,4.908e-05,4.908e-05
