epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.481,1.72399,2.3986,1.81479,0.52575,0.3239,0.33349,0.16316,1.94156,3.54362,2.20707,0.000414541,0.000414541,0.000414541
2,924.026,1.75424,1.71385,1.7999,0.55816,0.4207,0.42508,0.21565,1.8845,2.4998,1.97673,0.000831004,0.000831004,0.000831004
3,1048.7,1.75849,1.69796,1.83878,0.66254,0.33641,0.3554,0.17355,2.12707,2.54125,2.17361,0.00124666,0.00124666,0.00124666
4,1148.04,1.70519,1.60823,1.77446,0.64083,0.30547,0.34786,0.16987,1.8966,2.50295,2.00731,0.00124725,0.00124725,0.00124725
5,1246.66,1.61275,1.50952,1.69512,0.55824,0.46654,0.46213,0.23479,1.77286,1.73935,1.87317,0.00124512,0.00124512,0.00124512
6,1346.09,1.58941,1.44814,1.68103,0.65652,0.47593,0.50299,0.25193,1.75569,1.68904,1.82156,0.00124238,0.00124238,0.00124238
7,1450.55,1.53705,1.40767,1.64686,0.65984,0.47823,0.53697,0.301,1.57281,1.38702,1.67318,0.00123904,0.00123904,0.00123904
8,1548.55,1.51445,1.34718,1.63045,0.71998,0.51541,0.5799,0.3088,1.59489,1.40609,1.68735,0.0012351,0.0012351,0.0012351
9,1645.31,1.47089,1.28002,1.58659,0.80609,0.56194,0.61316,0.31042,1.67047,1.33615,1.72721,0.00123056,0.00123056,0.00123056
10,1743.11,1.4335,1.2356,1.56684,0.72639,0.53139,0.61079,0.33282,1.48517,1.27963,1.60683,0.00122543,0.00122543,0.00122543
11,1839.81,1.42852,1.22052,1.55568,0.75017,0.53986,0.5946,0.33519,1.47352,1.25634,1.57458,0.00121972,0.00121972,0.00121972
12,1936.34,1.39595,1.19391,1.53405,0.77724,0.5899,0.6625,0.37209,1.51833,1.16007,1.57359,0.00121342,0.00121342,0.00121342
13,2039.71,1.39117,1.18679,1.52656,0.6958,0.55094,0.61857,0.35008,1.48284,1.05688,1.54156,0.00120655,0.00120655,0.00120655
14,2138.55,1.36311,1.14798,1.51432,0.69277,0.56974,0.64164,0.36579,1.40286,1.07497,1.48507,0.00119911,0.00119911,0.00119911
15,2236.56,1.36282,1.14697,1.4976,0.75234,0.68729,0.7247,0.39125,1.46868,1.00763,1.51516,0.00119111,0.00119111,0.00119111
16,2333.89,1.32012,1.08934,1.47532,0.63347,0.67821,0.70101,0.41032,1.36374,0.99729,1.43998,0.00118256,0.00118256,0.00118256
17,2431.32,1.31397,1.0791,1.46343,0.81792,0.67101,0.72631,0.39541,1.44327,1.04379,1.50885,0.00117346,0.00117346,0.00117346
18,2528.49,1.33073,1.07536,1.4805,0.80579,0.66517,0.71513,0.39717,1.52475,0.98772,1.52884,0.00116383,0.00116383,0.00116383
19,2627.65,1.29301,1.03824,1.46682,0.76277,0.69398,0.73949,0.42434,1.41189,0.95181,1.48428,0.00115368,0.00115368,0.00115368
20,2730.8,1.29941,1.04019,1.45449,0.73141,0.70398,0.73635,0.43543,1.3764,0.93746,1.45709,0.00114301,0.00114301,0.00114301
21,2827.68,1.27401,1.00865,1.44067,0.81395,0.66692,0.7405,0.42543,1.37638,0.95308,1.45579,0.00113183,0.00113183,0.00113183
22,2924.88,1.26922,1.02649,1.43965,0.77686,0.69905,0.74574,0.42243,1.31731,0.89906,1.43363,0.00112016,0.00112016,0.00112016
23,3021.78,1.27071,1.00088,1.42241,0.8548,0.67157,0.73798,0.44256,1.27581,0.90476,1.40564,0.00110801,0.00110801,0.00110801
24,3119.02,1.26066,1.01055,1.43192,0.8337,0.69773,0.75506,0.43864,1.33912,0.88627,1.40987,0.00109538,0.00109538,0.00109538
25,3216.51,1.26092,1.00634,1.42518,0.80261,0.69055,0.77329,0.45412,1.29133,0.8875,1.38683,0.0010823,0.0010823,0.0010823
26,3325.46,1.25192,0.96049,1.42207,0.81405,0.71034,0.77761,0.46184,1.24533,0.88463,1.40444,0.00106877,0.00106877,0.00106877
27,3422.81,1.2662,0.99423,1.42645,0.75808,0.69835,0.75526,0.46174,1.21362,0.88096,1.37793,0.00105481,0.00105481,0.00105481
28,3523.57,1.22537,0.94115,1.39726,0.75728,0.7448,0.78548,0.46027,1.27026,0.84253,1.37354,0.00104044,0.00104044,0.00104044
29,3620.19,1.21323,0.92286,1.3981,0.79687,0.73477,0.79098,0.47237,1.27072,0.84184,1.36302,0.00102566,0.00102566,0.00102566
30,3717.71,1.20098,0.90435,1.38633,0.81653,0.76673,0.79885,0.48454,1.17364,0.81251,1.32525,0.00101049,0.00101049,0.00101049
31,3815.85,1.21246,0.92077,1.38956,0.80655,0.71314,0.78747,0.47922,1.16422,0.82918,1.31452,0.000994942,0.000994942,0.000994942
32,3917.9,1.19633,0.89586,1.377,0.8703,0.71102,0.78098,0.4716,1.18258,0.83805,1.34182,0.000979039,0.000979039,0.000979039
33,4017.11,1.19691,0.89509,1.38226,0.83236,0.75373,0.81549,0.47991,1.17383,0.79449,1.32421,0.000962793,0.000962793,0.000962793
34,4114.61,1.17394,0.87554,1.37564,0.8751,0.71975,0.79984,0.46889,1.28267,0.81878,1.35721,0.000946219,0.000946219,0.000946219
35,4213.9,1.1901,0.87764,1.38041,0.84679,0.73151,0.80439,0.48399,1.20478,0.79095,1.3329,0.000929335,0.000929335,0.000929335
36,4311.29,1.18123,0.87561,1.37772,0.83627,0.76098,0.79589,0.48201,1.23207,0.79045,1.34632,0.000912157,0.000912157,0.000912157
37,4408.21,1.17751,0.86378,1.36199,0.8874,0.74434,0.82503,0.49778,1.17795,0.78892,1.33614,0.000894701,0.000894701,0.000894701
38,4510.82,1.16902,0.8615,1.35866,0.91385,0.75426,0.83557,0.5018,1.15709,0.77401,1.32443,0.000876985,0.000876985,0.000876985
39,4609.99,1.16392,0.88229,1.36443,0.88553,0.71093,0.82685,0.5041,1.12786,0.78473,1.29661,0.000859027,0.000859027,0.000859027
40,4710.37,1.16142,0.84769,1.35429,0.88561,0.7506,0.81848,0.5154,1.10253,0.76625,1.3139,0.000840844,0.000840844,0.000840844
41,4813.62,1.14517,0.84554,1.34982,0.86581,0.79041,0.85105,0.51745,1.12364,0.73119,1.30277,0.000822454,0.000822454,0.000822454
42,4914.78,1.14763,0.83869,1.35428,0.87395,0.78366,0.8437,0.4982,1.23826,0.78245,1.35377,0.000803876,0.000803876,0.000803876
43,5014.69,1.15226,0.82519,1.35065,0.83098,0.79917,0.83378,0.50809,1.19283,0.7536,1.34576,0.000785127,0.000785127,0.000785127
44,5131.8,1.1284,0.8154,1.32964,0.84438,0.79719,0.84686,0.51566,1.09064,0.70208,1.27863,0.000766226,0.000766226,0.000766226
45,5230.95,1.1225,0.80513,1.32081,0.90758,0.74116,0.82186,0.53121,1.06196,0.70963,1.26923,0.000747192,0.000747192,0.000747192
46,5334.93,1.11738,0.81343,1.33092,0.78279,0.77051,0.82092,0.4997,1.13786,0.74444,1.31043,0.000728044,0.000728044,0.000728044
47,5431.96,1.1165,0.81901,1.32809,0.83143,0.77504,0.82566,0.50969,1.09007,0.73514,1.28856,0.0007088,0.0007088,0.0007088
48,5532.32,1.12012,0.8096,1.32112,0.86544,0.81146,0.83264,0.49687,1.20519,0.77342,1.31696,0.00068948,0.00068948,0.00068948
49,5635.01,1.08984,0.78882,1.29508,0.83679,0.77124,0.81808,0.51169,1.08617,0.71021,1.26705,0.000670102,0.000670102,0.000670102
50,5742.85,1.10142,0.78637,1.30657,0.88342,0.80936,0.85383,0.52591,1.11054,0.72821,1.28082,0.000650685,0.000650685,0.000650685
51,5840.44,1.10346,0.77958,1.31798,0.851,0.81111,0.86278,0.54458,1.07211,0.66693,1.25988,0.00063125,0.00063125,0.00063125
52,5940.16,1.08876,0.78151,1.30778,0.87756,0.788,0.84405,0.5252,1.12545,0.68549,1.2751,0.000611815,0.000611815,0.000611815
53,6039.53,1.09079,0.77778,1.31396,0.88438,0.79899,0.8426,0.53597,1.04162,0.6802,1.25359,0.000592398,0.000592398,0.000592398
54,6138.16,1.08447,0.75033,1.30214,0.86736,0.75162,0.83401,0.50563,1.11217,0.71305,1.26413,0.00057302,0.00057302,0.00057302
55,6241.36,1.07718,0.75172,1.29968,0.84729,0.80952,0.85132,0.5226,1.09995,0.66412,1.27401,0.0005537,0.0005537,0.0005537
