epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.66,2.27646,3.67632,2.70805,0.58637,0.29545,0.26165,0.1071,2.36734,4.26483,2.68582,0.000415076,0.000415076,0.000415076
2,832.442,1.96769,2.60589,2.28867,0.29528,0.40608,0.25735,0.1096,2.05961,3.74469,2.33126,0.00083154,0.00083154,0.00083154
3,1427.05,1.90831,2.23644,2.23393,0.41601,0.31274,0.33457,0.15254,1.96779,2.50774,2.25871,0.00124719,0.00124719,0.00124719
4,1696.33,1.86282,2.02825,2.14712,0.60339,0.37394,0.40827,0.19206,1.96971,2.12703,2.19588,0.00124725,0.00124725,0.00124725
5,1949.05,1.78009,1.91102,2.07344,0.58468,0.43914,0.43056,0.20926,1.8506,1.91006,2.01085,0.00124512,0.00124512,0.00124512
6,2148.72,1.71913,1.79543,2.03115,0.61949,0.4394,0.51183,0.24977,1.73302,1.73664,2.01086,0.00124238,0.00124238,0.00124238
7,2345.26,1.66547,1.66064,1.95401,0.73589,0.44554,0.49198,0.24042,1.80462,1.89704,1.97895,0.00123904,0.00123904,0.00123904
8,2592.9,1.62097,1.59886,1.93093,0.60037,0.50482,0.56119,0.32284,1.4792,1.3786,1.78118,0.0012351,0.0012351,0.0012351
9,2875.99,1.57099,1.51579,1.86967,0.73873,0.5216,0.58015,0.32093,1.49211,1.32698,1.75356,0.00123056,0.00123056,0.00123056
10,3083.88,1.54901,1.49832,1.85755,0.64622,0.53819,0.56904,0.29672,1.63377,1.41002,1.82905,0.00122543,0.00122543,0.00122543
11,3358.13,1.4949,1.40522,1.79512,0.73777,0.60924,0.63034,0.33796,1.6269,1.35795,1.77635,0.00121972,0.00121972,0.00121972
12,3563.41,1.48827,1.36707,1.77735,0.68172,0.66739,0.6428,0.35978,1.39888,1.22018,1.67353,0.00121342,0.00121342,0.00121342
13,3794.94,1.48058,1.37075,1.78304,0.74343,0.59959,0.6548,0.37202,1.4339,1.2138,1.64841,0.00120655,0.00120655,0.00120655
14,3991.81,1.43719,1.31813,1.76468,0.74354,0.59243,0.6248,0.31731,1.57949,1.21214,1.75598,0.00119911,0.00119911,0.00119911
15,4215.01,1.43978,1.30137,1.73104,0.72816,0.54497,0.63194,0.3726,1.34176,1.18612,1.61018,0.00119111,0.00119111,0.00119111
16,4539.4,1.41137,1.26944,1.73716,0.72266,0.66279,0.68537,0.38354,1.44084,1.19139,1.67938,0.00118256,0.00118256,0.00118256
17,4734.46,1.40411,1.23255,1.71185,0.80614,0.61372,0.68036,0.38435,1.5554,1.1161,1.71627,0.00117346,0.00117346,0.00117346
18,4955.38,1.38551,1.22034,1.70418,0.7861,0.64856,0.7158,0.40809,1.39647,1.01447,1.60638,0.00116383,0.00116383,0.00116383
19,5239.58,1.3802,1.23457,1.68512,0.87229,0.64286,0.72668,0.3949,1.48482,1.00668,1.63298,0.00115368,0.00115368,0.00115368
20,5544.34,1.36766,1.16187,1.68271,0.81637,0.62443,0.72938,0.40309,1.36269,1.02206,1.60525,0.00114301,0.00114301,0.00114301
21,5743.56,1.35176,1.16465,1.67148,0.72242,0.70785,0.72493,0.37808,1.59874,1.08243,1.70587,0.00113183,0.00113183,0.00113183
22,5949.15,1.33992,1.1366,1.65944,0.80138,0.71433,0.76885,0.42107,1.32842,0.98171,1.56367,0.00112016,0.00112016,0.00112016
23,6288.74,1.32776,1.14822,1.63967,0.80431,0.66599,0.76153,0.4324,1.38608,0.96959,1.58646,0.00110801,0.00110801,0.00110801
24,6646.45,1.31612,1.14241,1.62549,0.85549,0.67119,0.74236,0.40803,1.43269,1.02282,1.58566,0.00109538,0.00109538,0.00109538
25,6891.38,1.30677,1.1199,1.63578,0.82659,0.63922,0.73869,0.43981,1.21076,0.90682,1.49018,0.0010823,0.0010823,0.0010823
26,7057.39,1.29209,1.07895,1.61553,0.81161,0.62207,0.69724,0.41392,1.27023,0.97304,1.51584,0.00106877,0.00106877,0.00106877
27,7345.06,1.27886,1.07299,1.60332,0.81446,0.67169,0.74929,0.42878,1.28505,0.94488,1.51932,0.00105481,0.00105481,0.00105481
28,7679.45,1.26635,1.04625,1.58964,0.81463,0.7096,0.73844,0.43608,1.31585,0.94827,1.51656,0.00104044,0.00104044,0.00104044
29,7890.3,1.26809,1.03843,1.59529,0.84153,0.72054,0.776,0.44086,1.26496,0.90052,1.50937,0.00102566,0.00102566,0.00102566
30,8159.42,1.25419,1.03115,1.57293,0.84779,0.71178,0.76884,0.45017,1.29247,0.90481,1.48838,0.00101049,0.00101049,0.00101049
31,8445.54,1.24985,1.04717,1.57479,0.86511,0.72238,0.80292,0.46724,1.19636,0.87042,1.46484,0.000994942,0.000994942,0.000994942
32,8770.02,1.23789,1.0247,1.56673,0.8536,0.70925,0.77105,0.45513,1.28067,0.88554,1.48635,0.000979039,0.000979039,0.000979039
33,8984.33,1.22439,0.9867,1.55902,0.84404,0.70987,0.79309,0.48194,1.20668,0.87511,1.49092,0.000962793,0.000962793,0.000962793
34,9306.86,1.23007,1.00075,1.563,0.86103,0.7168,0.80521,0.46713,1.19533,0.84532,1.45241,0.000946219,0.000946219,0.000946219
35,9513.47,1.23556,0.99944,1.57112,0.89514,0.714,0.81566,0.48931,1.2002,0.81723,1.45128,0.000929335,0.000929335,0.000929335
36,9866.47,1.22768,1.01186,1.556,0.80894,0.75223,0.80875,0.48146,1.21354,0.85637,1.45834,0.000912157,0.000912157,0.000912157
37,10012.7,1.20283,0.96153,1.53204,0.88048,0.75697,0.83745,0.50546,1.21654,0.81156,1.44023,0.000894701,0.000894701,0.000894701
38,10234.9,1.20863,0.94699,1.53448,0.83471,0.7591,0.80749,0.46614,1.26322,0.84316,1.46445,0.000876985,0.000876985,0.000876985
39,10500.6,1.19675,0.96655,1.53969,0.88958,0.75685,0.84896,0.50052,1.15887,0.79344,1.45004,0.000859027,0.000859027,0.000859027
40,10688.7,1.19922,0.94924,1.53567,0.87931,0.73653,0.82618,0.50033,1.17149,0.84199,1.45434,0.000840844,0.000840844,0.000840844
41,10968.8,1.1817,0.94406,1.51515,0.80682,0.75959,0.79988,0.46455,1.27937,0.83002,1.47814,0.000822454,0.000822454,0.000822454
42,11197,1.1787,0.93745,1.52,0.92068,0.73284,0.82766,0.48583,1.12963,0.80129,1.41175,0.000803876,0.000803876,0.000803876
43,11469.4,1.18439,0.91531,1.51947,0.88085,0.76488,0.83447,0.49638,1.18898,0.79785,1.43736,0.000785127,0.000785127,0.000785127
44,11747.7,1.1777,0.92652,1.5043,0.88992,0.77979,0.82771,0.48366,1.13901,0.78964,1.44727,0.000766226,0.000766226,0.000766226
45,12000.3,1.17044,0.91221,1.51082,0.907,0.7454,0.81963,0.48803,1.21951,0.79277,1.43937,0.000747192,0.000747192,0.000747192
46,12266.5,1.17089,0.91637,1.50474,0.88644,0.78224,0.83776,0.5022,1.132,0.77141,1.40322,0.000728044,0.000728044,0.000728044
47,12491.4,1.13553,0.88843,1.48175,0.81596,0.77818,0.83341,0.51419,1.08791,0.75985,1.39307,0.0007088,0.0007088,0.0007088
48,12760.3,1.1392,0.89542,1.47743,0.86363,0.75588,0.81322,0.48804,1.12443,0.75775,1.40693,0.00068948,0.00068948,0.00068948
49,12985.5,1.13622,0.8695,1.47895,0.87287,0.7721,0.82989,0.49193,1.13137,0.74374,1.40291,0.000670102,0.000670102,0.000670102
50,13260.9,1.1324,0.86659,1.47509,0.89904,0.72099,0.81937,0.50488,1.10221,0.75485,1.38647,0.000650685,0.000650685,0.000650685
51,13494.7,1.13247,0.88095,1.48621,0.83464,0.77312,0.82169,0.47605,1.18083,0.78084,1.42349,0.00063125,0.00063125,0.00063125
52,13830.7,1.13847,0.87472,1.475,0.88453,0.73752,0.80289,0.49081,1.09232,0.73935,1.38538,0.000611815,0.000611815,0.000611815
53,14111.1,1.12375,0.86076,1.47237,0.89512,0.74663,0.82512,0.5116,1.08703,0.75641,1.37469,0.000592398,0.000592398,0.000592398
54,14414.2,1.09781,0.84412,1.45625,0.8509,0.82411,0.84905,0.52056,1.06165,0.73767,1.36596,0.00057302,0.00057302,0.00057302
55,14584,1.09549,0.83439,1.45479,0.87193,0.74664,0.83395,0.50841,1.12906,0.7412,1.38095,0.0005537,0.0005537,0.0005537
56,14726.9,1.09556,0.83305,1.44692,0.84842,0.80433,0.83211,0.50433,1.14424,0.72209,1.39274,0.000534456,0.000534456,0.000534456
57,14862.9,1.0939,0.83901,1.43913,0.90533,0.69814,0.83309,0.51281,1.07142,0.72365,1.37306,0.000515308,0.000515308,0.000515308
58,15003.8,1.09058,0.83298,1.44136,0.92176,0.72926,0.83578,0.51846,1.06891,0.72058,1.37626,0.000496274,0.000496274,0.000496274
59,15159.3,1.07698,0.80582,1.44088,0.91938,0.74889,0.83624,0.50172,1.09855,0.71817,1.37334,0.000477373,0.000477373,0.000477373
60,15298.5,1.07388,0.81138,1.42272,0.92566,0.75556,0.83107,0.51346,1.04961,0.7177,1.3696,0.000458624,0.000458624,0.000458624
61,15482.9,1.0734,0.80352,1.43405,0.90898,0.77626,0.84175,0.52606,1.05805,0.71231,1.35386,0.000440046,0.000440046,0.000440046
62,15639,1.07731,0.81438,1.4299,0.88001,0.77627,0.8304,0.52117,1.06884,0.71717,1.35559,0.000421656,0.000421656,0.000421656
63,15788.8,1.06762,0.79946,1.42726,0.88347,0.79456,0.8447,0.52897,1.02169,0.69292,1.33731,0.000403473,0.000403473,0.000403473
64,15941,1.06775,0.79908,1.42343,0.87052,0.79554,0.84248,0.52318,1.00909,0.69178,1.34009,0.000385515,0.000385515,0.000385515
65,16137.4,1.05463,0.79601,1.41949,0.89216,0.7531,0.83485,0.52021,1.03035,0.68858,1.3384,0.000367799,0.000367799,0.000367799
66,16289.8,1.04708,0.78618,1.41141,0.92097,0.77417,0.85621,0.53056,1.02406,0.67419,1.33726,0.000350343,0.000350343,0.000350343
67,16551.4,1.042,0.77889,1.41217,0.90558,0.76876,0.85391,0.53525,1.01816,0.66929,1.33761,0.000333165,0.000333165,0.000333165
68,16704.8,1.02957,0.77007,1.39808,0.89943,0.77981,0.84172,0.52511,1.06866,0.68822,1.35346,0.000316281,0.000316281,0.000316281
69,16845.5,1.02341,0.76957,1.39601,0.91776,0.74361,0.85038,0.52972,0.99921,0.69454,1.33268,0.000299707,0.000299707,0.000299707
70,16991.4,1.01617,0.77301,1.39325,0.92192,0.74902,0.8468,0.5259,0.98567,0.65437,1.33307,0.000283461,0.000283461,0.000283461
71,17148.2,1.00837,0.75163,1.37672,0.84954,0.76798,0.84132,0.53494,0.97617,0.64971,1.31697,0.000267558,0.000267558,0.000267558
