epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.178,1.7032,2.79606,1.77919,0.32534,0.29476,0.23735,0.11098,2.38109,3.63916,2.32988,0.000413486,0.000413486,0.000413486
2,189.476,1.60177,1.52026,1.6766,0.54499,0.48798,0.4766,0.25391,1.686,2.72693,1.74077,0.00082995,0.00082995,0.00082995
3,246.179,1.61209,1.45672,1.68394,0.82095,0.3995,0.515,0.26944,1.78443,2.17572,1.93917,0.0012456,0.0012456,0.0012456
4,302.327,1.58872,1.43381,1.67305,0.83145,0.41071,0.50367,0.25454,1.71552,1.86387,1.8155,0.00124725,0.00124725,0.00124725
5,361.134,1.55781,1.38637,1.64958,0.65891,0.53363,0.56615,0.28101,1.66459,1.56572,1.73085,0.00124512,0.00124512,0.00124512
6,421.369,1.54033,1.28132,1.61772,0.69571,0.48936,0.56557,0.29075,1.60269,1.59136,1.62583,0.00124238,0.00124238,0.00124238
7,479.121,1.47682,1.23645,1.58584,0.66322,0.53033,0.55506,0.30961,1.55142,1.37822,1.60479,0.00123904,0.00123904,0.00123904
8,534.801,1.46311,1.25026,1.56954,0.64402,0.56563,0.5882,0.32043,1.54159,1.2175,1.58747,0.0012351,0.0012351,0.0012351
9,589.438,1.43304,1.1629,1.54477,0.70648,0.61126,0.63194,0.34559,1.55404,1.31725,1.6263,0.00123056,0.00123056,0.00123056
10,645.022,1.39801,1.14481,1.52675,0.84026,0.56654,0.66192,0.39049,1.41191,1.18148,1.50769,0.00122543,0.00122543,0.00122543
11,700.626,1.38441,1.12689,1.5073,0.69263,0.62915,0.66066,0.35841,1.51372,1.05565,1.58484,0.00121972,0.00121972,0.00121972
12,756.173,1.34837,1.09047,1.46719,0.80329,0.63522,0.69082,0.40675,1.35483,1.08632,1.46938,0.00121342,0.00121342,0.00121342
13,811.836,1.35165,1.08271,1.48485,0.71832,0.65711,0.67973,0.40407,1.44431,1.01512,1.48655,0.00120655,0.00120655,0.00120655
14,867.351,1.33604,1.05181,1.47076,0.78597,0.65233,0.72012,0.39564,1.50837,1.05117,1.51768,0.00119911,0.00119911,0.00119911
15,922.19,1.30915,1.0144,1.43634,0.76152,0.61226,0.70001,0.40209,1.45491,1.07629,1.48376,0.00119111,0.00119111,0.00119111
