epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.217,1.82598,2.94578,2.01372,0.66241,0.3778,0.39456,0.16842,2.11074,2.39825,2.1817,0.000414541,0.000414541,0.000414541
2,273.785,1.72654,1.71033,1.89871,0.70067,0.38236,0.42385,0.21528,1.88231,2.64143,2.05888,0.000831004,0.000831004,0.000831004
3,377.765,1.73577,1.60788,1.93628,0.85601,0.39789,0.52567,0.25797,1.73885,2.0779,1.91704,0.00124666,0.00124666,0.00124666
4,481.11,1.69467,1.57853,1.88773,0.56787,0.49316,0.49713,0.24473,1.76196,1.68558,1.95404,0.00124725,0.00124725,0.00124725
5,595.673,1.62968,1.48339,1.83291,0.54058,0.5514,0.52952,0.27378,1.77082,1.52549,1.86872,0.00124512,0.00124512,0.00124512
6,725.369,1.58859,1.43715,1.80218,0.58111,0.50909,0.51358,0.25829,1.74582,1.56378,1.90263,0.00124238,0.00124238,0.00124238
7,856.299,1.53912,1.37939,1.76616,0.68127,0.54987,0.584,0.32032,1.59583,1.40909,1.76156,0.00123904,0.00123904,0.00123904
8,957.465,1.54021,1.33593,1.76023,0.58759,0.52048,0.536,0.29217,1.62611,1.5637,1.74792,0.0012351,0.0012351,0.0012351
9,1057.72,1.48986,1.28535,1.71902,0.76001,0.60948,0.64839,0.3618,1.50399,1.22442,1.68548,0.00123056,0.00123056,0.00123056
10,1158.73,1.46168,1.2541,1.69642,0.66647,0.55306,0.61642,0.3464,1.62498,1.30518,1.72764,0.00122543,0.00122543,0.00122543
11,1258.84,1.44966,1.21196,1.68335,0.76458,0.60529,0.64754,0.34172,1.68227,1.21034,1.76193,0.00121972,0.00121972,0.00121972
12,1359.53,1.43389,1.19356,1.67107,0.75772,0.62737,0.69766,0.39251,1.54511,1.18246,1.66583,0.00121342,0.00121342,0.00121342
13,1460.71,1.42189,1.19423,1.65331,0.74805,0.57298,0.66088,0.3688,1.50863,1.14941,1.64142,0.00120655,0.00120655,0.00120655
14,1560.85,1.38209,1.15757,1.6285,0.71022,0.66888,0.71088,0.41607,1.43522,1.0818,1.60373,0.00119911,0.00119911,0.00119911
15,1661.11,1.38235,1.14513,1.61542,0.78634,0.66054,0.71129,0.39972,1.542,1.10071,1.66569,0.00119111,0.00119111,0.00119111
16,1762.32,1.36489,1.10243,1.60823,0.82437,0.68262,0.74042,0.4128,1.43556,1.01686,1.58555,0.00118256,0.00118256,0.00118256
17,1862.55,1.3573,1.09182,1.60671,0.80653,0.63017,0.69152,0.37722,1.45981,1.09732,1.59906,0.00117346,0.00117346,0.00117346
18,1963.19,1.34893,1.09726,1.59776,0.82076,0.64101,0.73323,0.40115,1.47339,1.05002,1.62084,0.00116383,0.00116383,0.00116383
19,2061.96,1.32367,1.05802,1.58598,0.82172,0.65989,0.76317,0.42404,1.46878,0.9424,1.61138,0.00115368,0.00115368,0.00115368
20,2162.04,1.32743,1.05751,1.56946,0.75741,0.70863,0.73776,0.4084,1.44189,0.99837,1.60154,0.00114301,0.00114301,0.00114301
21,2262.4,1.30587,1.01955,1.57326,0.82536,0.72617,0.77387,0.41464,1.46725,0.9872,1.6104,0.00113183,0.00113183,0.00113183
22,2362.95,1.30431,1.0467,1.56766,0.86529,0.67208,0.75899,0.41434,1.49495,0.99365,1.6322,0.00112016,0.00112016,0.00112016
23,2462.15,1.29623,1.02163,1.55146,0.87261,0.69786,0.77076,0.43524,1.38215,0.93536,1.53205,0.00110801,0.00110801,0.00110801
24,2561.8,1.28843,1.03302,1.55318,0.8465,0.7092,0.78371,0.45942,1.4001,0.92495,1.52008,0.00109538,0.00109538,0.00109538
25,2661.97,1.27608,1.01075,1.52804,0.82504,0.689,0.73933,0.41766,1.38834,0.96619,1.5472,0.0010823,0.0010823,0.0010823
26,2762.27,1.26725,0.98434,1.53054,0.85853,0.68956,0.74092,0.44031,1.35212,0.95229,1.57576,0.00106877,0.00106877,0.00106877
27,2862.41,1.27041,1.01258,1.5278,0.74358,0.74282,0.76966,0.43567,1.33347,0.95299,1.5149,0.00105481,0.00105481,0.00105481
28,2963.21,1.25992,0.96836,1.5218,0.87826,0.77663,0.82836,0.47787,1.37358,0.87623,1.50824,0.00104044,0.00104044,0.00104044
29,3063.54,1.23426,0.93513,1.50863,0.89312,0.68926,0.78973,0.46408,1.34525,0.88881,1.51631,0.00102566,0.00102566,0.00102566
30,3163.68,1.24139,0.92983,1.50819,0.83445,0.78829,0.80393,0.47127,1.33118,0.86583,1.48476,0.00101049,0.00101049,0.00101049
31,3264.11,1.23603,0.93072,1.4987,0.89305,0.74867,0.82169,0.49264,1.25756,0.85017,1.45358,0.000994942,0.000994942,0.000994942
32,3364.18,1.22898,0.90621,1.49821,0.87276,0.67951,0.76699,0.46014,1.28454,0.87045,1.46501,0.000979039,0.000979039,0.000979039
33,3463.37,1.21722,0.90532,1.49648,0.82214,0.73175,0.7715,0.46048,1.31339,0.84417,1.49383,0.000962793,0.000962793,0.000962793
34,3565.04,1.21601,0.88801,1.49816,0.8329,0.7643,0.81373,0.4868,1.3128,0.87035,1.44823,0.000946219,0.000946219,0.000946219
35,3664.1,1.21034,0.90063,1.48902,0.83996,0.74064,0.79798,0.46836,1.36344,0.86304,1.47256,0.000929335,0.000929335,0.000929335
36,3764.14,1.21472,0.90501,1.49614,0.82757,0.7356,0.76833,0.45578,1.29926,0.87042,1.45454,0.000912157,0.000912157,0.000912157
37,3863.32,1.20948,0.89077,1.47444,0.86597,0.77701,0.81869,0.49451,1.27799,0.84131,1.4496,0.000894701,0.000894701,0.000894701
38,3962.41,1.19712,0.8705,1.46656,0.83426,0.75207,0.80815,0.46063,1.35354,0.85778,1.49923,0.000876985,0.000876985,0.000876985
39,4062.32,1.20185,0.89666,1.4769,0.89519,0.74148,0.82253,0.48889,1.27588,0.84354,1.43748,0.000859027,0.000859027,0.000859027
